flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared,aircraft
2026-05-22,active,,Forest Hill,Australia/Sydney,WGA,YSWG,,,,2026-05-22T06:20:00+00:00,2026-05-22T06:20:00+00:00,,,,Kempsey,Australia/Sydney,KPS,YKMP,,,,2026-05-22T08:39:00+00:00,,,,,,empty,,,,,,,,,,,,,,,7C0B6C,,
2026-05-22,scheduled,,Halle,Europe/Berlin,LEJ,EDDP,,,,2026-05-22T03:55:00+00:00,2026-05-22T03:55:00+00:00,,,,Barajas,Europe/Madrid,MAD,LEMD,CARG,,,2026-05-22T06:50:00+00:00,,,,,,DHL Air,D0,DHK,,D0,DHK,,,,,,,,,,3C71A6,,
2026-05-22,scheduled,,Halle,Europe/Berlin,LEJ,EDDP,,,,2026-05-22T03:25:00+00:00,2026-05-22T03:25:00+00:00,,,,Vitoria,Europe/Madrid,VIT,LEVT,,,,2026-05-22T05:41:00+00:00,,,,,,DHL Air,D0,DHK,198,D0198,DHK198,,,,,,,,,,3C1BAE,,
2026-05-22,scheduled,,Gran Canaria,Atlantic/Canary,LPA,GCLP,,,,2026-05-22T00:00:00+00:00,2026-05-22T00:00:00+00:00,,,,Lanzarote,Atlantic/Canary,ACE,GCRR,,,,2026-05-22T00:43:00+00:00,,,,,,Spain - Air Force,,AME,,,AME,,,,,,,,,,353607,,
2026-05-22,scheduled,,Prominent Hill,Australia/Adelaide,PXH,YPMH,,,,2026-05-22T07:45:00+00:00,2026-05-22T07:45:00+00:00,,,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,,,,2026-05-22T08:44:00+00:00,,,,,,National Jet Express,WO,JTE,245,WO245,JTE245,,,,,,,,,,7C2BEF,,
2026-05-22,scheduled,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,,,,2026-05-22T06:50:00+00:00,2026-05-22T06:50:00+00:00,,,,Whyalla,Australia/Adelaide,WYA,YWHA,,,,2026-05-22T07:24:00+00:00,,,,,,QantasLink,,QLK,,,QLK,,,,,,,,,,7C52FC,,
2026-05-22,active,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,,,,2026-05-22T05:45:00+00:00,2026-05-22T05:45:00+00:00,,,,Prominent Hill,Australia/Adelaide,PXH,YPMH,,,,2026-05-22T06:59:00+00:00,,,,,,National Jet Express,WO,JTE,244,WO244,JTE244,,,,,,,,,,7C2BEF,,
2026-05-22,scheduled,,Münster Osnabrück International,Europe/Berlin,FMO,EDDG,,,,2026-05-22T00:05:00+00:00,2026-05-22T00:05:00+00:00,,,,Antalya,Europe/Istanbul,AYT,LTAI,,,,2026-05-22T04:39:00+00:00,,,,,,Mavi Gök Airlines,4M,MGH,460,4M460,MGH460,,,,,,,,,,4BB4F0,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,,,2026-05-22T04:30:00+00:00,2026-05-22T04:30:00+00:00,,,,Belgrade Nikola Tesla,Europe/Belgrade,BEG,LYBE,2,A2,,2026-05-22T05:10:00+00:00,16.0,,,,,Bulgaria Air,FB,LZB,427,FB427,LZB427,,,,,,,,,,451CC1,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,,,2026-05-22T04:00:00+00:00,2026-05-22T04:00:00+00:00,,,,Erbil International (irbil Northwest),Asia/Baghdad,EBL,ORER,,,,2026-05-22T06:08:00+00:00,,,,,,UR Airlines,UD,UBD,762,UD762,UBD762,,,,,,,,,,452087,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,A1F,,2026-05-22T03:45:00+00:00,2026-05-22T03:45:00+00:00,,,,Queen Alia International,Asia/Amman,AMM,OJAI,2,,,2026-05-22T06:10:00+00:00,,,,,,Royal Jordanian,RJ,RJA,3702,RJ3702,RJA3702,turkish airlines,tk,thy,814,tk814,thy814,,,,,,
